Character,Probability,Code
м,17723/770605,00000
",",17778/770605,00001
н,36638/770605,0001
у,18304/770605,00100
д,18562/770605,00101
т,37224/770605,0011
Ч,996/770605,010000000
>,118/770605,010000001000
“,59/770605,0100000010010
„,59/770605,0100000010011
o,29/770605,01000000101000
6,31/770605,01000000101001
Ж,31/770605,01000000101010
g,7/770605,0100000010101100
	,8/770605,0100000010101101
f,2/770605,010000001010111000
k,2/770605,010000001010111001
q,2/770605,010000001010111010
Й,2/770605,010000001010111011
*,9/770605,0100000010101111
(,66/770605,0100000010110
),68/770605,0100000010111
А,539/770605,0100000011
Д,539/770605,0100000100
И,542/770605,0100000101
Н,1140/770605,010000011
э,1149/770605,010000100
«,591/770605,0100001010
»,591/770605,0100001011
П,1207/770605,010000110
:,1237/770605,010000111
"
",4777/770605,0100010
Л,68/770605,0100011000000
i,17/770605,010001100000100
c,9/770605,0100011000001010
p,9/770605,0100011000001011
s,9/770605,0100011000001100
0,10/770605,0100011000001101
m,19/770605,010001100000111
Х,152/770605,010001100001
Е,154/770605,010001100010
#,20/770605,010001100011000
&,20/770605,010001100011001
2,40/770605,01000110001101
4,40/770605,01000110001110
3,41/770605,01000110001111
С,635/770605,0100011001
К,640/770605,0100011010
ф,649/770605,0100011011
Р,162/770605,010001110000
Б,163/770605,010001110001
…,330/770605,01000111001
ё,81/770605,0100011101000
5,21/770605,010001110100100
n,10/770605,0100011101001010
/,11/770605,0100011101001011
8,22/770605,010001110100110
h,11/770605,0100011101001110
u,11/770605,0100011101001111
У,175/770605,010001110101
l,22/770605,010001110110000
r,22/770605,010001110110001
t,22/770605,010001110110010
Ш,22/770605,010001110110011
Ц,11/770605,0100011101101000
’,2/770605,010001110110100100
_,3/770605,010001110110100101
b,6/770605,01000111011010011
9,24/770605,010001110110101
1,48/770605,01000111011011
Я,190/770605,010001110111
-,1396/770605,010001111
з,10083/770605,010010
г,10519/770605,010011
и,41335/770605,0101
ч,10589/770605,011000
я,11463/770605,011001
ы,11529/770605,011010
б,11532/770605,011011
а,46407/770605,0111
х,5794/770605,1000000
.,5804/770605,1000001
ш,5808/770605,1000010
!,1404/770605,100001100
;,822/770605,1000011010
ъ,205/770605,100001101100
d,3/770605,100001101101000000
Ы,1/770605,1000011011010000010
R,1/770605,10000110110100000110
v,1/770605,10000110110100000111
y,6/770605,10000110110100001
Щ,6/770605,10000110110100010
Ю,6/770605,10000110110100011
7,26/770605,100001101101001
[,53/770605,10000110110101
Ф,104/770605,1000011011011
М,429/770605,10000110111
 ,3303/770605,10000111
к,24634/770605,10001
р,25155/770605,10010
ь,12767/770605,100110
й,6431/770605,1001110
ж,6738/770605,1001111
е,52013/770605,1010
л,27178/770605,10110
в,27611/770605,10111
 ,115809/770605,110
с,30569/770605,11100
Э,218/770605,111010000000
Г,220/770605,111010000001
Т,445/770605,11101000001
?,892/770605,1110100001
щ,1806/770605,111010001
ю,3644/770605,11101001
—,3792/770605,11101010
],53/770605,11101011000000
a,13/770605,1110101100000100
N,14/770605,1110101100000101
e,28/770605,111010110000011
<,118/770605,1110101100001
З,231/770605,111010110001
О,460/770605,11101011001
В,992/770605,1110101101
ц,1967/770605,111010111
п,15876/770605,111011
о,68371/770605,1111
